bolig_id;addr;vej;zip;pris;energi;type;kvm;ejerudg;grund;vaer;liggetid;alder
45248b69-7a9c-4ed7-9b5b-99e6b39d1b18;/adresse/erritsoe-engvej-18-7000-fredericia;Erritsø Engvej 18Erritsø, 7000 Fredericia;Erritsø, 7000 Fredericia;1.495.000,00 kr.;Energimærke C;Villa;117 m²;Ejerudg. 2.646 kr./md;Grund 846 m²;4 Vær.;70 dage;Opført 1977
f539494f-b0cb-4a07-ac12-16853ec214ad;/adresse/gyvelvej-18-6621-gesten;Gyvelvej 186621 Gesten;6621 Gesten;855.000,00 kr.;Energimærke C;Villa;120 m²;Ejerudg. 1.221 kr./md;Grund 733 m²;4 Vær.;70 dage;Opført 1968
d0ba2c5f-498f-4709-84d7-9524a3b0e8d2;/adresse/trudshoejvej-38-4760-vordingborg;Trudshøjvej 384760 Vordingborg;4760 Vordingborg;2.995.000,00 kr.;Energimærke C;Villa;240 m²;Ejerudg. 3.888 kr./md;Grund 19.000 m²;4 Vær.;70 dage;Opført 1930
811a954d-54b5-4815-8b02-edb59f14860e;/adresse/lundevej-3a-7100-vejle;Lundevej 3A7100 Vejle;7100 Vejle;1.995.000,00 kr.;Energimærke D;Villa;116 m²;Ejerudg. 2.222 kr./md;Grund 707 m²;4 Vær.;70 dage;Opført 1972
13cf6abb-10ef-49c2-904e-bdbdc018c4b3;/adresse/brislingvej-23-3450-alleroed;Brislingvej 233450 Allerød;3450 Allerød;4.995.000,00 kr.;Energimærke D;Villa;154 m²;Ejerudg. 4.463 kr./md;Grund 751 m²;4 Vær.;70 dage;Opført 1973
a2429925-1f20-4a1c-be25-7b4bef97a8c3;/adresse/hassellunden-22-6705-esbjerg-oe;Hassellunden 226705 Esbjerg Ø;6705 Esbjerg Ø;1.798.000,00 kr.;Energimærke C;Villa;132 m²;Ejerudg. 1.576 kr./md;Grund 717 m²;4 Vær.;70 dage;Opført 1975
7278863a-9a4c-404f-b8bb-46afc83e35b4;/adresse/bakkedal-4-2980-kokkedal;Bakkedal 42980 Kokkedal;2980 Kokkedal;5.995.000,00 kr.;Energimærke D;Villa;135 m²;Ejerudg. 5.613 kr./md;Grund 842 m²;4 Vær.;70 dage;Opført 1967
f3d794b0-868a-4e4c-8aac-35b436e63ee5;/adresse/leestrup-byvej-16-4733-tappernoeje;Leestrup Byvej 16Leestrup, 4733 Tappernøje;Leestrup, 4733 Tappernøje;2.945.000,00 kr.;Energimærke D;Villa;202 m²;Ejerudg. 2.583 kr./md;Grund 1.896 m²;4 Vær.;70 dage;Opført 1877
c33f3953-4eaf-4765-9dab-bd53e27fadee;/adresse/bondesvadvej-29-8300-odder;Bondesvadvej 29Tvenstrup, 8300 Odder;Tvenstrup, 8300 Odder;1.498.000,00 kr.;Energimærke E;Villa;104 m²;Ejerudg. 2.181 kr./md;Grund 801 m²;4 Vær.;70 dage;Opført 1925
41f9e4e9-15d4-4613-ae14-f800b8297a9c;/adresse/tjaerbyvej-50-8930-randers-noe;Tjærbyvej 508930 Randers NØ;8930 Randers NØ;999.500,00 kr.;Energimærke E;Villa;83 m²;Ejerudg. 1.648 kr./md;Grund 823 m²;3 Vær.;70 dage;Opført 1960
